Month,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score,Credit_History_Months,Num_Loan_Types,Has_Loan
June,28.0,Teacher,34847.84,3037.986666666666,2.0,4.0,6.0,1.0,3,0.0,5.42,2.0,Good,605.03,33.38101020065065,No,18.816214573128885,43.47719014435575,High_spent_Large_value_payments,481.505261949182,Good,324.0,1,1
July,28.0,Teacher,34847.84,,2.0,4.0,6.0,1.0,3,4.0,5.42,2.0,Good,605.03,31.131701611553307,,18.816214573128885,70.10177420755677,High_spent_Medium_value_payments,464.8806778859809,Good,325.0,1,1
August,28.0,Teacher,34847.84,3037.986666666666,2.0,4.0,6.0,1.0,3,4.0,5.42,2.0,Good,605.03,32.933856293622235,No,18.816214573128885,218.90434353388733,Low_spent_Small_value_payments,356.07810855965045,Good,326.0,1,1
January,34.0,,143162.64,12187.22,1.0,5.0,8.0,3.0,5,8.0,7.1,3.0,Good,1303.01,28.616734823006844,No,246.9923194537421,168.413702679309,,1043.3159778669492,Good,213.0,3,1
February,34.0,Engineer,143162.64,12187.22,1.0,5.0,8.0,3.0,13,6.0,7.1,3.0,Good,1303.01,41.70257342393906,No,246.9923194537421,232.86038375993544,High_spent_Small_value_payments,998.8692967863226,Good,214.0,3,1
March,34.0,,143162.64,,1.0,5.0,8.0,3.0,8,7.0,11.1,,Good,1303.01,26.519815391546494,No,246.9923194537421,10000.0,High_spent_Small_value_payments,715.741367403555,Good,215.0,3,1
April,34.0,Engineer,143162.64,12187.22,1.0,5.0,8.0,3.0,8,5.0,9.1,3.0,_,1303.01,39.50164810812735,No,246.9923194537421,825.2162699393922,Low_spent_Medium_value_payments,426.5134106068658,Good,,3,1
May,34.0,,143162.64,12187.22,1.0,5.0,8.0,3.0,10,5.0,7.1,3.0,Good,1303.01,31.37614957421204,No,246.9923194537421,430.9475278803298,Low_spent_Large_value_payments,810.7821526659284,Good,217.0,3,1
June,34.0,Engineer,143162.64,12187.22,1.0,5.0,8.0,,8,6.0,7.1,3.0,Good,1303.01,39.78399345802119,No,246.9923194537421,257.80809942568976,High_spent_Medium_value_payments,963.9215811205684,Good,218.0,3,1
July,34.0,Engineer,143162.64,12187.22,1.0,5.0,8.0,3.0,8,6.0,7.1,3.0,Good,1303.01,38.068623627698585,No,246.9923194537421,263.17416316163934,High_spent_Small_value_payments,968.5555173846188,Standard,219.0,3,1
August,34.0,Engineer,143162.64,12187.22,1.0,5.0,8.0,3.0,8,6.0,7.1,3.0,Good,1303.01,38.37475294778511,No,246.9923194537421,10000.0,High_spent_Small_value_payments,895.494583180492,Standard,220.0,3,1
January,54.0,Entrepreneur,30689.89,2612.4908333333333,2.0,5.0,4.0,1.0,0,6.0,1.99,4.0,Good,632.46,26.54422872407309,No,16.415451659824875,81.22885871073616,Low_spent_Large_value_payments,433.6047729627723,Standard,207.0,0,0
February,54.0,Entrepreneur,30689.89,2612.4908333333333,2.0,5.0,4.0,1.0,5,3.0,1.99,4.0,Good,632.46,35.279981779008544,No,16.415451659824875,124.88181990234848,Low_spent_Small_value_payments,409.95181177116,Standard,208.0,0,0
March,55.0,Entrepreneur,30689.89,2612.4908333333333,2.0,5.0,4.0,1.0,3,9.0,1.99,4.0,Good,632.46,32.30116343180253,,16.415451659824875,83.40650880252501,High_spent_Medium_value_payments,411.42712287098345,Standard,209.0,0,0
April,55.0,Entrepreneur,30689.89,2612.4908333333333,2.0,5.0,4.0,1.0,7,6.0,-2.01,4.0,Good,632.46,38.132348192570056,No,16.415451659824875,272.3340373956682,Low_spent_Small_value_payments,262.4995942778403,Standard,210.0,0,0
May,55.0,Entrepreneur,30689.89,2612.4908333333333,2.0,5.0,4.0,1.0,5,6.0,-1.01,4.0,Good,632.46,41.15431654696947,No,16.415451659824875,10000.0,Low_spent_Large_value_payments,359.37491550776383,Standard,211.0,0,0
June,55.0,,30689.89,2612.4908333333333,2.0,5.0,4.0,1.0,5,6.0,-3.01,4.0,_,632.46,27.4454217928553,No,16.415451659824875,84.95284817115969,High_spent_Small_value_payments,419.8807835023488,Standard,212.0,0,0
July,55.0,Entrepreneur,30689.89,2612.4908333333333,2.0,5.0,4.0,1.0,5,,1.99,4.0,Good,632.46,26.05639527857161,No,16.415451659824875,71.28367488286933,Low_spent_Large_value_payments,443.5499567906391,Standard,213.0,0,0
August,55.0,Entrepreneur,30689.89,2612.4908333333333,2.0,5.0,4.0,,4,9.0,1.99,4.0,Good,632.46,27.332514927554215,No,16.415451659824875,125.61725053231268,High_spent_Small_value_payments,379.21638114119577,Standard,214.0,0,0
January,21.0,Developer,35547.71,2853.3091666666664,7.0,5.0,5.0,0.0,5,,2.58,4.0,Standard,943.86,39.79776423199917,Yes,0.0,276.72539431736266,,288.60552234930395,Standard,368.0,0,0
February,21.0,Developer,35547.71,,7.0,5.0,5.0,0.0,9,,2.58,4.0,Standard,943.86,27.02036025389693,,0.0,74.44364104999623,High_spent_Medium_value_payments,460.8872756166704,Standard,369.0,0,0
March,21.0,Developer,35547.71,2853.3091666666664,7.0,5.0,5.0,,5,12.0,2.58,4.0,Standard,943.86,23.462303036448013,Yes,0.0,173.13865100158367,Low_spent_Medium_value_payments,392.1922656650829,Standard,370.0,0,0
April,21.0,Developer,35547.71,2853.3091666666664,7.0,5.0,5.0,0.0,1,15.0,2.58,4.0,_,943.86,28.924953778098622,Yes,0.0,96.78548508587444,High_spent_Medium_value_payments,438.5454315807922,Standard,371.0,0,0
May,21.0,Developer,35547.71,2853.3091666666664,7.0,5.0,5.0,0.0,9,17.0,2.58,4.0,_,943.86,41.77618715055719,Yes,0.0,62.72327834435009,High_spent_Small_value_payments,482.6076383223166,Standard,372.0,0,0
June,21.0,Developer,35547.71,,7.0,5.0,5.0,0.0,5,15.0,2.58,4.0,Standard,943.86,29.217556326688413,Yes,0.0,37.64363788963997,High_spent_Medium_value_payments,497.6872787770267,Standard,373.0,0,0
July,21.0,Developer,35547.71,2853.3091666666664,7.0,5.0,5.0,0.0,10,15.0,2.58,4.0,Standard,943.86,26.263822692130155,Yes,0.0,181.0119827315892,Low_spent_Small_value_payments,394.31893393507744,Standard,374.0,0,0
August,21.0,Developer,35547.71,2853.3091666666664,7.0,5.0,5.0,,1,15.0,2.58,4.0,Standard,943.86,25.86292247432155,Yes,0.0,181.3309009618692,High_spent_Small_value_payments,364.00001570479753,Standard,375.0,0,0
January,31.0,Lawyer,73928.46,,4.0,,8.0,0.0,12,10.0,10.14,2.0,Good,548.2,39.96268501363903,No,15015.0,98.67440994166124,High_spent_Large_value_payments,740.1960900583389,Good,,0,0
February,31.0,,73928.46,5988.705000000001,4.0,5.0,8.0,0.0,8,7.0,10.14,2.0,Good,548.2,42.76986440325711,,0.0,172.93921446875606,Low_spent_Medium_value_payments,705.931285531244,Good,384.0,0,0
March,31.0,Lawyer,73928.46,5988.705000000001,4.0,5.0,8.0,0.0,8,7.0,10.14,2.0,Good,548.2,40.7121865299296,No,0.0,150.05973429800815,High_spent_Medium_value_payments,698.8107657019921,Good,,0,0
April,31.0,Lawyer,73928.46,5988.705000000001,4.0,5.0,8.0,0.0,8,7.0,10.14,2.0,Good,548.2,30.201657705809275,No,0.0,618.2023912505837,Low_spent_Small_value_payments,270.66810874941655,Good,386.0,0,0
May,31.0,Lawyer,73928.46,5988.705000000001,4.0,5.0,,0.0,11,7.0,10.14,2.0,_,548.2,26.33331042687101,No,0.0,177.95183568608738,Low_spent_Large_value_payments,690.9186643139128,Good,387.0,0,0
June,31.0,Lawyer,73928.46,5988.705000000001,4.0,5.0,8.0,0.0,7,7.0,10.14,2.0,Good,548.2,35.2754365244368,No,15515.0,235.79032503182023,Low_spent_Large_value_payments,633.0801749681799,Good,,0,0
July,31.0,Lawyer,73928.46,5988.705000000001,4.0,5.0,8.0,0.0,8,4.0,9.14,2.0,_,548.2,36.62479126183764,No,0.0,348.5093995125948,High_spent_Small_value_payments,510.3611004874053,Standard,389.0,0,0
August,31.0,Lawyer,73928.46,5988.705000000001,4.0,5.0,8.0,0.0,8,7.0,10.14,,Good,548.2,31.58098966831768,No,0.0,42.63559025189578,,796.2349097481042,Good,390.0,0,0
January,33.0,Lawyer,131313.4,11242.783333333333,0.0,1.0,8.0,2.0,0,3.0,9.34,2.0,Good,352.16,32.200508995391914,,137.6446054014217,378.1712535207537,High_spent_Medium_value_payments,858.462474411158,Good,367.0,2,1
February,34.0,Lawyer,131313.4,11242.783333333333,0.0,1.0,8.0,2.0,-1,2.0,15.34,4.0,Good,352.16,31.98371000755867,No,137.6446054014217,698.8732707169384,High_spent_Small_value_payments,547.7604572149734,Good,368.0,2,1
March,34.0,Lawyer,131313.4,10469.207759388815,0.0,1.0,8.0,2.0,0,3.0,9.34,4.0,Good,352.16,31.803134495092277,,911.2201793459374,188.0643210997384,High_spent_Large_value_payments,1038.5694068321734,Good,369.0,2,1
April,34.0,Lawyer,131313.4,10469.207759388815,0.0,1.0,8.0,2.0,0,2.0,8.34,4.0,Good,352.16,42.64578489930634,No,23834.0,337.43495631738324,High_spent_Medium_value_payments,899.1987716145285,Good,370.0,2,1
May,34.0,Lawyer,131313.4,10469.207759388815,0.0,1.0,8.0,2.0,0,4.0,9.34,4.0,Good,352.16,40.902517150451615,No,32662.0,263.3789089320552,High_spent_Large_value_payments,963.2548189998564,Good,371.0,2,1
June,34.0,Lawyer,131313.4,,0.0,1.0,8.0,,0,3.0,11.34,4.0,Good,352.16,41.98016961054943,No,911.2201793459374,86.56638801207531,High_spent_Large_value_payments,1140.0673399198365,Standard,372.0,2,1
July,34.0,Lawyer,10909427.0,,0.0,1.0,8.0,2.0,0,2.0,9.34,4.0,Good,352.16,26.94756515223988,No,911.2201793459374,930.3918977796664,,326.24183015224526,Good,373.0,2,1
August,34.0,Lawyer,131313.4,10469.207759388815,0.0,1.0,8.0,2.0,0,2.0,9.34,4.0,Good,352.16,29.18791265416669,No,911.2201793459374,870.52238171816,Low_spent_Medium_value_payments,396.1113462137519,Good,374.0,2,1
January,,Media_Manager,34081.38,,8.0,7.0,15.0,3.0,30,11.0,17.13,5.0,Standard,1704.18,24.44806274625548,,70.47833267207261,162.4410091967751,Low_spent_Large_value_payments,298.19215813115227,Poor,,3,1
February,30.0,Media_Manager,34081.38,2611.115,8.0,7.0,15.0,3.0,30,14.0,17.13,5.0,_,1704.18,35.171160021263034,Yes,70.47833267207261,38.4369827577036,High_spent_Large_value_payments,392.19618457022375,Poor,176.0,3,1
March,30.0,Media_Manager,34081.38,,8.0,7.0,15.0,3.0,31,14.0,17.13,5.0,Standard,1704.18,35.11155247196594,Yes,70.47833267207261,199.7207654954979,Low_spent_Large_value_payments,260.9124018324295,Poor,177.0,3,1
April,30.0,,34081.38,2611.115,8.0,7.0,15.0,3.0,34,14.0,21.13,5.0,_,1704.18,29.76215930632113,Yes,70.47833267207261,220.5521919291672,Low_spent_Small_value_payments,260.0809753987602,Poor,178.0,3,1
May,30.0,,34081.38,2611.115,8.0,7.0,15.0,3.0,27,14.0,17.13,5.0,_,1704.18,30.206214222610893,Yes,70.47833267207261,,High_spent_Large_value_payments,397.2283547370202,Standard,179.0,3,1
June,30.0,Media_Manager,34081.38,2611.115,8.0,7.0,15.0,,30,14.0,18.13,5.0,Standard,1704.18,31.17087232096111,Yes,70.47833267207261,,,410.6743660782873,Standard,180.0,3,1
July,30.0,Media_Manager,34081.38,,8.0,7.0,15.0,3.0,30,11.0,17.13,5.0,Standard,1704.18,38.438505084064886,,70.47833267207261,55.45978063925893,High_spent_Small_value_payments,395.1733866886684,Standard,181.0,3,1
August,30.0,Media_Manager,34081.38,2611.115,8.0,7.0,15.0,3.0,30,14.0,17.13,9.0,_,1704.18,33.82348834412097,Yes,70.47833267207261,29.32636371091455,High_spent_Medium_value_payments,411.3068036170128,Poor,182.0,3,1
January,23.0,Doctor,114838.41,9843.8675,2.0,5.0,7.0,,13,11.0,8.24,3.0,Good,1377.74,33.66455429077268,No,226.8927919215432,215.19351594560425,High_spent_Small_value_payments,802.3004421328528,Good,256.0,3,1
February,23.0,Doctor,114838.41,9843.8675,2.0,5.0,7.0,3.0,14,8.0,,3.0,Good,1377.74,27.62632548676964,,226.8927919215432,212.23560220847847,High_spent_Large_value_payments,785.2583558699787,Good,257.0,3,1
March,23.0,Doctor,114838.41,,2.0,5.0,7.0,3.0,11,11.0,,3.0,Good,1377.74,35.14156730186042,,226.8927919215432,470.3857956796373,High_spent_Small_value_payments,547.1081623988198,Good,258.0,3,1
April,23.0,Doctor,114838.41,,2.0,5.0,7.0,3.0,11,14.0,8.24,8.0,Good,1377.74,30.4590318418306,No,226.8927919215432,225.08204945419,,772.411908624267,Good,259.0,3,1
May,23.0,Doctor,114838.41,9843.8675,2.0,5.0,7.0,3.0,11,11.0,11.24,8.0,Good,1377.74,29.819186633421047,No,226.8927919215432,649.8093641841638,High_spent_Small_value_payments,367.6845938942932,Standard,260.0,3,1
June,24.0,Doctor,114838.41,9843.8675,2.0,5.0,7.0,3.0,13,14.0,8.24,8.0,_,1377.74,26.114213868949623,,226.8927919215432,546.3805705230692,,491.11338755538793,Good,261.0,3,1
July,24.0,Doctor,114838.41,9843.8675,2.0,5.0,7.0,3.0,11,,8.24,8.0,Good,1377.74,31.76751564697107,No,226.8927919215432,215.4682977385688,High_spent_Medium_value_payments,792.0256603398883,Good,262.0,3,1
August,24.0,Doctor,114838.41,9843.8675,2.0,5.0,7.0,3.0,11,11.0,8.24,8.0,Good,1377.74,27.813353640375272,No,226.8927919215432,254.5717672483792,High_spent_Large_value_payments,742.9221908300779,Standard,263.0,3,1
January,44.0,Journalist,31370.8,2825.233333333333,0.0,5.0,12.0,2.0,4,0.0,5.76,2.0,Good,421.43,29.51935255713933,,46.61612907334207,154.352781097101,High_spent_Small_value_payments,341.55442316289026,Good,,2,1
February,44.0,Journalist,31370.8,2825.233333333333,1.0,6.0,12.0,2.0,2,0.0,-1.2400000000000002,2.0,Good,421.43,28.22048095698559,No,46.61612907334207,298.7444693112266,Low_spent_Small_value_payments,227.1627349487646,Good,318.0,2,1
March,44.0,Journalist,31370.8,2825.233333333333,1.0,6.0,12.0,2.0,-2,0.0,1.7599999999999998,5.0,Good,421.43,31.04641790511995,No,46.61612907334207,140.8206959818371,Low_spent_Medium_value_payments,375.0865082781542,Good,319.0,2,1
April,44.0,Journalist,31370.8,2825.233333333333,1.0,6.0,12.0,2.0,1,0.0,5.76,5.0,_,421.43,30.1680304036694,No,46.61612907334207,233.6055264233428,Low_spent_Small_value_payments,292.3016778366485,Good,320.0,2,1
May,44.0,Journalist,31370.8,2825.233333333333,1.0,6.0,12.0,2.0,1,0.0,5.76,5.0,_,421.43,25.18923173183331,No,16415.0,184.70057162057685,Low_spent_Small_value_payments,341.20663263941435,Good,321.0,2,1
June,44.0,Journalist,31370.8,2825.233333333333,1.0,6.0,12.0,2.0,1,0.0,5.76,5.0,Good,421.43,25.502468550245663,No,46.61612907334207,137.7174248951262,Low_spent_Medium_value_payments,378.18977936486505,Good,,2,1
July,45.0,Journalist,31370.8,2825.233333333333,1.0,6.0,12.0,,-1,2.0,5.76,5.0,Good,421.43,22.762202172732568,No,46.61612907334207,188.3949004901688,Low_spent_Small_value_payments,337.51230376982244,Good,323.0,2,1
August,45.0,Journalist,31370.8,,1.0,6.0,12.0,2.0,-2,2.0,5.76,5.0,_,421.43,37.56505276771999,No,46.61612907334207,252.6448271968889,Low_spent_Small_value_payments,273.2623770631024,Good,324.0,2,1
January,40.0,Teacher,33751.27,2948.605833333333,5.0,5.0,20.0,3.0,16,20.0,11.0,4.0,Standard,1328.93,37.08907564543987,,65.00817428651536,117.30669710658556,High_spent_Medium_value_payments,362.5457119402324,Standard,230.0,3,1
February,40.0,Teacher,33751.27,2948.605833333333,5.0,5.0,20.0,3.0,16,20.0,11.0,4.0,Standard,1328.93,30.908080633467584,Yes,65.00817428651536,70.13107792087979,High_spent_Large_value_payments,399.7213311259382,Standard,231.0,3,1
March,40.0,,33751.27,,5.0,5.0,20.0,3.0,16,20.0,11.0,8.0,Standard,1328.93,38.03072168039317,Yes,65.00817428651536,270.18258222151513,Low_spent_Large_value_payments,229.6698268253028,Standard,232.0,3,1
April,40.0,Teacher,33751.27,2948.605833333333,5.0,5.0,20.0,3.0,17,22.0,11.0,8.0,Standard,1328.93,23.40441277698757,Yes,65.00817428651536,25.192561910314712,High_spent_Large_value_payments,444.6598471365032,Standard,233.0,3,1
May,40.0,Teacher,33751.27,2948.605833333333,5.0,5.0,20.0,3.0,16,20.0,8.0,8.0,Standard,1328.93,29.073758182245705,Yes,65.00817428651536,243.32968479530567,Low_spent_Small_value_payments,276.5227242515123,Standard,234.0,3,1
June,40.0,Teacher,33751.27,2948.605833333333,5.0,5.0,20.0,3.0,16,20.0,11.0,8.0,Standard,1328.93,32.78263672653516,Yes,65.00817428651536,72.86008181289458,High_spent_Medium_value_payments,406.9923272339233,Standard,235.0,3,1
July,40.0,Teacher,33751.27,2948.605833333333,5.0,5.0,20.0,3.0,16,20.0,11.0,8.0,Standard,1328.93,35.58400504980836,Yes,65.00817428651536,35.427169541683696,,444.4252395051343,Standard,236.0,3,1
August,41.0,Teacher,33751.27,2948.605833333333,5.0,5.0,20.0,3.0,16,17.0,11.0,8.0,Standard,1328.93,31.13948358493632,Yes,65.00817428651536,25.969611914778515,High_spent_Large_value_payments,443.88279713203934,Standard,,3,1
January,32.0,Engineer,88640.24,7266.686666666667,3.0,6.0,1.0,2.0,-1,0.0,3.51,3.0,Good,950.36,28.210617211444603,No,135.17337097171767,98.93176402067012,High_spent_Large_value_payments,732.563531674279,Standard,305.0,2,1
February,33.0,Engineer,88640.24,7266.686666666667,3.0,6.0,,2.0,4,2.0,3.51,3.0,Good,950.36,41.036168282350594,,135.17337097171767,157.174788304235,High_spent_Large_value_payments,674.3205073907143,Good,306.0,2,1
March,33.0,Engineer,88640.24,7266.686666666667,3.0,6.0,1.0,2.0,4,0.0,3.51,3.0,Good,950.36,34.67019437922772,No,135.17337097171767,298.1889114624804,High_spent_Medium_value_payments,543.3063842324688,Standard,307.0,2,1
April,33.0,Engineer,88640.24,7266.686666666667,3.0,6.0,1.0,2.0,4,2.0,3.51,3.0,Good,950.36,31.82853557484664,No,135.17337097171767,,Low_spent_Small_value_payments,86.63611982901625,Standard,308.0,2,1
May,33.0,Engineer,88640.24,7266.686666666667,3.0,6.0,1.0,2.0,4,2.0,3.51,3.0,Good,950.36,34.702836927947075,No,135.17337097171767,279.61862207772435,High_spent_Medium_value_payments,561.8766736172248,Good,309.0,2,1
June,33.0,Engineer,88640.24,7266.686666666667,3.0,6.0,1.0,2.0,4,0.0,3.51,3.0,Good,950.36,38.32363895436978,No,135.17337097171767,686.1262165951837,Low_spent_Small_value_payments,195.36907909976551,Good,310.0,2,1
July,33.0,Engineer,88640.24,,3.0,6.0,1.0,2.0,4,2.0,3.51,3.0,_,950.36,25.97917280396149,No,80357.0,164.0748218779106,High_spent_Large_value_payments,667.4204738170387,Good,311.0,2,1
August,33.0,Engineer,88640.24,7266.686666666667,3.0,6.0,1.0,2.0,-1,,3.51,3.0,Good,950.36,30.87079911079545,No,135.17337097171767,98.44195128223792,High_spent_Large_value_payments,733.0533444127112,Good,312.0,2,1
January,35.0,Entrepreneur,54392.16,4766.68,6.0,4.0,14.0,3.0,10,8.0,5.54,3.0,Standard,179.22,25.64924606724341,Yes,124.39208242092045,243.7354373920944,Low_spent_Large_value_payments,378.54048018698535,Standard,322.0,3,1
February,35.0,Entrepreneur,54392.16,4766.68,6.0,4.0,14.0,3.0,10,10.0,4.54,3.0,Standard,179.22,29.40877527612245,Yes,124.39208242092045,142.75186411942676,High_spent_Medium_value_payments,459.52405345965286,Standard,323.0,3,1
March,35.0,Entrepreneur,54392.16,,6.0,4.0,14.0,3.0,15,11.0,5.54,3.0,_,179.22,31.25892846912917,,124.39208242092045,33.349568589344514,High_spent_Large_value_payments,558.9263489897351,Standard,324.0,3,1
April,35.0,Entrepreneur,54392.16,4766.68,6.0,4.0,14.0,3.0,10,7.0,0.54,3.0,Standard,179.22,27.19258740532601,Yes,124.39208242092045,494.8422277056662,Low_spent_Small_value_payments,147.43368987341347,Standard,325.0,3,1
May,35.0,Entrepreneur,54392.16,4766.68,6.0,4.0,14.0,3.0,10,8.0,11.54,3.0,Standard,179.22,34.59532445612005,Yes,124.39208242092045,233.1184454152274,Low_spent_Small_value_payments,409.15747216385233,Standard,326.0,3,1
June,35.0,Entrepreneur,54392.16,4766.68,6.0,4.0,14.0,3.0,10,8.0,5.54,3.0,_,179.22,23.195025404792624,Yes,124.39208242092045,635.1465605054178,Low_spent_Small_value_payments,7.129357073661937,Standard,327.0,3,1
July,36.0,Entrepreneur,54392.16,4766.68,6.0,4.0,14.0,3.0,10,8.0,5.54,7.0,Standard,179.22,35.112531991297786,Yes,124.39208242092045,158.11240346721374,Low_spent_Large_value_payments,464.1635141118658,Standard,328.0,3,1
August,36.0,Entrepreneur,54392.16,4766.68,6.0,4.0,14.0,3.0,10,8.0,5.54,7.0,Standard,179.22,32.8788050668308,Yes,124.39208242092045,495.1178978821161,Low_spent_Small_value_payments,147.15801969696355,Standard,329.0,3,1
January,39.0,Manager,8701.545,,6.0,5.0,32.0,7.0,23,9.0,8.86,6.0,_,2602.69,24.523163853918167,Yes,36.54819717138717,13.066209919444336,Low_spent_Large_value_payments,272.2984679091685,Poor,107.0,7,1
February,39.0,Manager,8701.545,519.12875,6.0,5.0,32.0,7.0,23,9.0,8.86,6.0,Standard,2602.69,39.90251759709182,Yes,36.54819717138717,34.71516393565097,Low_spent_Large_value_payments,250.64951389296183,Poor,108.0,7,1
March,39.0,Manager,8701.545,519.12875,6.0,5.0,32.0,7.0,23,,8.86,6.0,Standard,2602.69,36.47591386327275,,36.54819717138717,45.6509755447516,Low_spent_Large_value_payments,239.71370228386124,Poor,109.0,7,1
April,39.0,Manager,8701.545,519.12875,6.0,5.0,32.0,7.0,22,7.0,8.86,6.0,Standard,2602.69,32.09749227865355,Yes,36.54819717138717,20.390183876957128,Low_spent_Small_value_payments,284.9744939516557,Poor,110.0,7,1
May,39.0,Manager,8701.545,519.12875,6.0,5.0,32.0,7.0,22,9.0,8.86,6.0,Standard,2602.69,37.16937449181636,Yes,36.54819717138717,50.486952198712274,Low_spent_Small_value_payments,254.8777256299005,Poor,111.0,7,1
June,39.0,Manager,8701.545,519.12875,6.0,5.0,32.0,7.0,23,6.0,,6.0,Standard,2602.69,28.570031407996357,Yes,36.54819717138717,52.93161340713412,Low_spent_Medium_value_payments,242.43306442147872,Poor,112.0,7,1
July,39.0,Manager,8701.545,,6.0,5.0,32.0,7.0,21,9.0,,9.0,Standard,2602.69,38.46541540543407,Yes,36.54819717138717,30.471806299271933,Low_spent_Medium_value_payments,264.8928715293409,Poor,,7,1
August,39.0,Manager,8701.545,519.12875,6.0,5.0,32.0,7.0,23,9.0,8.86,9.0,Standard,2602.69,28.815537059010616,,36.54819717138717,,Low_spent_Small_value_payments,264.7720511316515,Poor,114.0,7,1
January,36.0,Entrepreneur,25546.26,2415.855,8.0,7.0,14.0,5.0,16,14.0,7.83,5.0,Standard,758.44,37.41820916883601,,101.3286373638512,53.104599112612064,High_spent_Medium_value_payments,337.1522635235368,Standard,218.0,5,1
February,,Entrepreneur,25546.26,,8.0,7.0,14.0,5.0,16,13.0,7.83,,Standard,758.44,29.711375540929517,Yes,101.3286373638512,300.32323168069064,Low_spent_Small_value_payments,129.9336309554582,Standard,219.0,5,1
March,37.0,Entrepreneur,25546.26,2415.855,8.0,7.0,14.0,5.0,16,10.0,7.83,5.0,Standard,758.44,25.413616742350907,Yes,101.3286373638512,91.21658676189335,Low_spent_Large_value_payments,319.0402758742555,Standard,220.0,5,1
April,37.0,Entrepreneur,25546.26,2415.855,8.0,7.0,14.0,5.0,16,10.0,7.83,,Standard,758.44,35.946278218900645,Yes,101.3286373638512,83.7147504914459,High_spent_Medium_value_payments,306.54211214470297,Standard,221.0,5,1
